Age,Sexe,Light Time 1,Light Time 2,Light Time 3,Sound Time 1,Sound Time 2,Sound Time 3,number of fault/32
21,m,0.2097914218902588,0.36807799339294434,0.1953110694885254,0.1535956859588623,0.19501590728759766,0.17872118949890137,7
22,m,0.27179741859436035,0.20199871063232422,0.20073151588439941,0.174821138381958,0.19603228569030762,0.2427234649658203,2
25,f,2.031437873840332,0.2576169967651367,0.20631170272827148,0.20016789436340332,0.18079423904418945,0.1714174747467041,8
99,autre,0.16648626327514648,0.2179417610168457,0.18610644340515137,0.1881551742553711,0.14875459671020508,0.17927193641662598,2
26,f,0.2895073890686035,0.28756046295166016,0.26659178733825684,0.2639033794403076,0.34885168075561523,0.21657156944274902,4
24,m,0.2752087116241455,0.18742942810058594,0.16410493850708008,0.15063738822937012,0.11868524551391602,0.1258840560913086,8
20,f,0.5172162055969238,0.3188924789428711,0.23393774032592773,0.2975151538848877,0.1701970100402832,0.18668365478515625,8
20,f,0.2847580909729004,0.19292974472045898,0.2952728271484375,0.28592944145202637,0.14821076393127441,0.13496160507202148,12
22,m,0.3250424861907959,0.3110959529876709,0.24726295471191406,0.2252964973449707,0.16274476051330566,0.1784214973449707,5
21,m,4.227098226547241,0.28453779220581055,0.20073175430297852,0.18419933319091797,0.16367149353027344,0.1560375690460205,0
26,m,0.4315619468688965,0.23665118217468262,0.25524044036865234,0.42751502990722656,0.17699146270751953,0.1723771095275879,7
22,m,0.2271409034729004,0.2257678508758545,0.23799848556518555,0.1587529182434082,0.15180397033691406,0.13399291038513184,2
22,m,0.2877359390258789,0.2549757957458496,0.2194056510925293,0.23369860649108887,0.21297264099121094,0.2237415313720703,13
26,m,0.2718374729156494,0.20870590209960938,0.22260308265686035,0.45606255531311035,0.1549527645111084,0.15700292587280273,11
24,m,0.2155601978302002,0.19759368896484375,0.18729472160339355,0.15186095237731934,1.988687515258789,0.179396390914917,6
